"","기업명","모집내용","지원자격","근무조건/근무지역","마감일/등록일"
"112","트랜스코스모스코리아","당사 RPA 개발 및 엔지니어 채용 7La8
기술지원데이터분석가유지보수프론트엔드DBA 외","경력무관
학력무관","정규직
서울 용산구","입사지원
~ 04/17(일)
(2일 전 등록)"
"113","메디에이지","취업축하금 50만원
[헬스케어] 데이터 제휴 및 플랫폼 서비스 기획자 (경력) 모집
마케팅기획콘텐츠기획제휴마케팅브랜드기획사업기획 외","6 ~ 12년
대학교(4년)↑","정규직
경기 성남시 분당구","입사지원
~ 04/30(토)
(2일 전 등록)"
"114","에듀윌","에듀윌 부문별 인재모집(DBA/국비교육/출판 등)
백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","신입 · 경력
학력무관","정규직 · 계약직
서울 구로구","입사지원
~ 04/30(토)
(2일 전 등록)"
"115","아이엠에이아이","취업축하금 50만원
ML Engineer (머신러닝 엔지니어)
데이터분석가백엔드/서버개발웹개발딥러닝머신러닝 외","1 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(2일 전 등록)"
"116","휴머스온
휴머스온그룹","취업축하금 50만원
Technical Project Manager
웹개발DBASE(시스템엔지니어)JavaLinux 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02(월)
(2일 전 등록)"
"117","마인즈앤컴퍼니","취업축하금 50만원
인공지능(AI) Data Scientist 채용(박사급)
데이터분석가데이터엔지니어데이터마이닝데이터시각화딥러닝 외","신입 · 경력
박사","정규직
서울전체","입사지원
~ 04/30(토)
(2일 전 등록)"
"118","마인즈앤컴퍼니","취업축하금 50만원
인공지능(AI) Data Scientist 채용(전문연구요원/병역특례)
데이터분석가데이터엔지니어데이터마이닝데이터시각화딥러닝 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
~ 04/30(토)
(2일 전 등록)"
"119","하나금융투자
하나금융그룹","하나금융투자 전문직(투자심사/IT관리/해외금융/법인대체) 인재 채용
데이터분석가데이터엔지니어보안컨설팅정보보안CISO 외","경력
학력무관","계약직
서울 영등포구","홈페이지 지원
~ 04/10(일)
(2일 전 등록)"
"120","마인즈앤컴퍼니","취업축하금 50만원
인공지능(AI) Data Scientist 채용(경력 5년이상)
데이터분석가데이터엔지니어데이터마이닝데이터시각화딥러닝 외","5 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30(토)
(2일 전 등록)"
"121","휴머스온
휴머스온그룹","취업축하금 50만원
빅데이터 개발
웹개발프론트엔드SE(시스템엔지니어)검색엔진데이터마이닝 외","2 ~ 14년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02(월)
(2일 전 등록)"
"122","휴머스온
휴머스온그룹","취업축하금 50만원
Application architect
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","6 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02(월)
(2일 전 등록)"
"123","휴머스온
휴머스온그룹","취업축하금 50만원
솔루션 유지보수 개발
백엔드/서버개발웹개발SE(시스템엔지니어)WindowsJava 외","2 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02(월)
(2일 전 등록)"
"124","휴머스온
휴머스온그룹","취업축하금 50만원
데이터 엔지니어
데이터분석가데이터엔지니어웹개발SE(시스템엔지니어)검색엔진 외","3 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02(월)
(2일 전 등록)"
"125","엔엑스테크놀로지","취업축하금 50만원
[경력] 백엔드 개발자
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","2 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(4일 전 등록)"
"126","페이먼트인앱","웹개발자(웹 엔지니어·웹 프로그래머) 모집합니다.
AngularHTMLJavascriptjQueryReact 외","경력무관
대학(2,3년)↑","정규직 · 계약직
서울 영등포구","입사지원
채용시
(1일 전 등록)"
"127","에스케이쉴더스","[SK쉴더스] DT운영팀 경력직 채용
데이터분석가데이터엔지니어백엔드/서버개발DBAIT컨설팅 외","경력 5년↑
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/06(수)
(3일 전 등록)"
"128","안티그래비티","취업축하금 50만원
백엔드 개발자 채용
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)검색엔진 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 04/15(금)
(3일 전 등록)"
"129","나이스지니데이타
NICE그룹","취업축하금 50만원
빅데이터 운영팀(팀장급)
데이터분석가데이터엔지니어SE(시스템엔지니어)데이터마이닝데이터시각화 외","7 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"130","카사코리아","취업축하금 50만원
Product Designer(KTS) 경력직 채용
UI/UX디자인SketchZeplin서비스기획앱기획 외","2 ~ 10년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/29(금)
(3일 전 등록)"
"131","콘텐츠캐리어
세종그룹","취업축하금 50만원
[테크랩] PHP 엔지니어
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"132","피어테크","취업축하금 50만원
[디지털금융] 개발 리드
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)딥러닝 외","3 ~ 8년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30(토)
(3일 전 등록)"
"133","엔엑스테크놀로지","취업축하금 50만원
[신입] 임베디드 소프트웨어 (펌웨어) 개발자
SE(시스템엔지니어)펌웨어S/WC#C++ 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"134","유호스트","[대기업/관제] LG 가산센터 모니터링파트 정규직 채용(교대근무)
기술지원데이터엔지니어백엔드/서버개발유지보수정보보안 외","신입 · 경력
고졸↑","정규직
서울 금천구","입사지원
~ 04/15(금)
(3일 전 등록)"
"135","나이스지니데이타
NICE그룹","취업축하금 50만원
시스템/네트워크 엔지니어
백엔드/서버개발웹개발SE(시스템엔지니어)인프라DevOps 외","2 ~ 7년
학력무관","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"136","현대모비스
현대자동차그룹","22년 상반기 각 부문별 신입/경력 채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
대학교(4년)↑","정규직
경기 의왕시","홈페이지 지원
~ 04/15(금)
(5일 전 등록)"
"137","스칼라웍스","취업축하금 50만원
Data Scientist 채용(병역특례 가능)
데이터분석가DBASE(시스템엔지니어)데이터마이닝데이터시각화 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
~ 06/30(목)
(3일 전 등록)"
"138","고영테크놀러지","[고영테크놀러지] 각 부문별 경력사원 모집
웹개발정보보안DBMSDevOpsFPGA 외","경력
대학교(4년)↑","정규직 · 계약직
경기 용인시 수지구","입사지원
~ 04/10(일)
(10일 전 등록)"
"139","카룸","취업축하금 50만원
[카룸] 백엔드 개발자 채용
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)ECMAScript 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"140","네오카오스","기획팀 및 디자인팀 신입/경력 채용
HTML사내행사행사도우미GRO(컨시어지)큐레이터 외","신입 · 경력
대학(2,3년)↑","정규직
서울 영등포구","입사지원
~ 04/15(금)
(18일 전 등록)"
"141","희림종합건축사사무소
희림종합건축사사무소그룹","CM플랜트&클린룸/건축설계/모형팀/유튜브/해외영업/회계(신입)/기획/VR파트/CM현장 채용
웹개발웹마스터퍼블리셔영상처리웹표준·웹접근성 외","신입 · 경력
학력무관","정규직 · 계약직
서울전체","입사지원
~ 04/20(수)
(6일 전 등록)"
"142","키움증권
다우키움그룹","리테일총괄본부 경력직 채용
데이터분석가데이터엔지니어DBA데이터라벨링데이터마이닝 외","경력
대학교(4년)↑","정규직
서울 영등포구","입사지원
채용시
(12일 전 등록)"
"143","오토허브셀카","AJ셀카 2022년 수시 채용
데이터분석가데이터엔지니어검색엔진네트워크데이터마이닝 외","신입 · 경력
학력무관","정규직
경기 용인시","채용 홈페이지
~ 04/08(금)
(12일 전 등록)"
"144","겟앤쇼","겟앤쇼 정규직 채용
백엔드/서버개발앱개발웹개발웹마스터퍼블리셔 외","경력 5년↑
학력무관","정규직
서울 마포구
5,000만원","입사지원
~ 04/10(일)
(18일 전 등록)"
"145","인텔리빅스","2022년 제품 기술 엔지니어 채용(신입/경력) 팀원
데이터엔지니어기술지원H/WS/W
","신입 · 경력
대학(2,3년)↑","정규직
서울 서초구","입사지원
~ 04/23(토)
(40일 전 등록)"
"146","빅인사이트","취업축하금 50만원
Backend Team 개발자 (경력직)
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(59일 전 등록)"
"147","주식회사 미스고","취업축하금 50만원
[연봉9000-1억] 백엔드 서버개발(5년 이상)
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 04/22(금)
(4일 전 등록)"
"148","제니스앤컴퍼니
메가존그룹","Microsoft 365 기술지원 및 컨설턴트 (신입, 경력 모집)
기술지원IT컨설팅솔루션VDIWindows 외","신입 · 경력
학력무관","정규직
서울 강남구","입사지원
~ 04/15(금)
(18일 전 등록)"
"149","와이즐리컴퍼니","취업축하금 50만원
백엔드 엔지니어
백엔드/서버개발웹개발프론트엔드ECMAScriptJavascript 외","3 ~ 5년
학력무관","정규직
서울전체","입사지원
~ 04/30(토)
(116일 전 등록)"
"150","와이즐리컴퍼니","취업축하금 50만원
프론트엔드 엔지니어
웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","1 ~ 5년
학력무관","정규직
서울전체","입사지원
~ 04/30(토)
(116일 전 등록)"
"151","와이즐리컴퍼니","취업축하금 50만원
시니어 프론트엔드 엔지니어
웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
~ 04/30(토)
(149일 전 등록)"
"152","퍼솔켈리코리아","[한국화웨이] 네트워크 & IT 엔지니어직군(언어무관/경력)
백엔드/서버개발SE(시스템엔지니어)네트워크방화벽정보통신 외","경력 1년↑
대학교(4년)↑","계약직 · 파견직
서울 중구","입사지원
~ 04/27(수)
(6일 전 등록)"
"153","푸드테크
우아한형제들그룹","22년 상반기 푸드테크 각 부문 신입/경력직 모집
데이터분석가데이터엔지니어SE(시스템엔지니어)데이터마이닝데이터시각화 외","경력
학력무관","정규직
서울 강남구","입사지원
~ 04/15(금)
(12일 전 등록)"
"154","존스랑라살
존스랑라살그룹","[JLL] 디지털 통합 관리자 - 대리과장급
기술지원데이터분석가데이터엔지니어백엔드/서버개발웹개발 외","경력 5년↑
대학교(4년)↑","정규직
서울 영등포구","입사지원
~ 05/01(일)
(2일 전 등록)"
"155","베올리아산업개발코리아
베올리아그룹","기술 지원 엔지니어 (Technical Support Engineer)
대기환경기사폐기물처리기사환경설계환경플랜트
","경력 6년↓
학력무관","정규직
서울 중구","입사지원
~ 04/22(금)
(2일 전 등록)"
"156","주식회사 에너슨","MySQL DB 엔지니어 / 데이터 엔지니어 채용공고 (정규직)
DBALinuxPL/SQLSQL크롤링 외
","경력 1년↑
학력무관","정규직
서울 송파구","입사지원
채용시
(2일 전 등록)"
"157","크립텍스","키오스크 솔루션 고도화-델파이 경력직 인원 구함
데이터엔지니어백엔드/서버개발앱개발프론트엔드솔루션 외","경력 5년↑
대학(2,3년)↑","정규직
서울 용산구
50,000만원","입사지원
~ 04/30(토)
(12일 전 등록)"
"158","매스프레소","취업축하금 50만원
DevOps Engineer (데브옵스 엔지니어)
백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","8 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
(268일 전 등록)"
"159","매스프레소","취업축하금 50만원
[제품 개발] Backend Developer (백엔드 개발자)
백엔드/서버개발웹개발SE(시스템엔지니어)블록체인인프라 외","3 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(258일 전 등록)"
"160","매스프레소","취업축하금 50만원
Data Analyst (데이터 분석가)
데이터분석가백엔드/서버개발앱개발웹개발SE(시스템엔지니어) 외","1 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(256일 전 등록)"
"161","진네트웍스","방화벽 및 정보보호 솔루션 엔지니어 모집(경력/신입)
백엔드/서버개발정보보안IT컨설팅네트워크방화벽 외
","신입 · 경력
대학(2,3년)↑","정규직
서울 금천구
3,000만원 (면접 후 협의)","입사지원
~ 05/31(화)
(2일 전 등록)"
